module	direct_imports	purpose
Recaman.RecurringCandidateDemandBirth	Recaman.EventualHighCorridorBirth;Recaman.RecurringCandidateBurst	birth分類とrecurring burstの最小composition境界
Recaman.PeriodicCandidateNoGo	-	Recamán軌道から独立したPrelude-only有限算術核
Recaman.ShortPeriodicSupply	-	実際の周期符号から7bit履歴を構成し、全periodでlag≤7の供給容量を証明
Recaman.SeededUseGapCounterexample	Recaman.Basic	任意seed上のexact Basic.step反例
Recaman.SupplyAncestryCounterexample	Recaman.History	canonical prefixのfirst-occurrence APIだけを使う反例
Recaman.DemandProvenanceCounterexample	Recaman.History	canonical prefixのsupplied-demand birth反例。first-occurrence APIだけを使う
Recaman.MissingDensityDichotomy	Recaman.EventualHighCorridorSecondMissing	valuesThrough_lengthとcorridor_value_lawだけを使う二分定理
Recaman.DescendingChain	Recaman.History	step recurrenceと履歴membershipだけを使うchain補題
Recaman.HoleHopping	Recaman.DescendingChain	chain補題だけから導くhole-hopping規則とcomb sweep
Recaman.PopupLock	Recaman.HoleHopping	pop-up後のk=3/4固定とその剰余算術
Recaman.LevelTwoThree	Recaman.PopupLock	pop-up後にk=2へ戻る場合とk=2/3 ping-pongの算術
Recaman.LockResidue	Recaman.PopupLock	剰余則（両ステップで(q,r)→(q±1,r−q)、r<qで剰余増加）と固定の予算（wrap条件v<13+7k、runによる候補閉塞）
Recaman.PingPongRuns	Recaman.LockResidue	任意levelのping-pong対（剰余−(2p+3)）とrun（上側a m+k、下側a m−(m+k+1)）の候補形の補題
Recaman.CombExit	Recaman.LevelTwoThree;Recaman.LockResidue	combの加算値i+v+2−sがk=2/3段の出口候補を塞ぎ、段が⌊(T−2)/3⌋対以上続くこと
Recaman.EventualEscape	Recaman.History	無条件のeventual escapeとfree-cutoff floorの意味監査
Recaman.SeededSurvivalCounterexample	Recaman.Basic	density・parity・one-useを満たすexact seeded survival-ratio反例
Recaman.SeededReplay	Recaman.Basic	任意finite-prefix survival反例族の独立した証明層
Recaman.SeededReplayWrap	Recaman.SeededReplay	任意finite-prefix survival反例族の独立した証明層
Recaman.SurvivalCountermodelArithmetic	Recaman.Basic	任意finite-prefix survival反例族の独立した証明層
Recaman.SurvivalCountermodelReplay	Recaman.SurvivalCountermodelArithmetic;Recaman.SeededReplay	任意finite-prefix survival反例族の独立した証明層
Recaman.SurvivalCountermodelResidue	Recaman.SurvivalCountermodelReplay	任意finite-prefix survival反例族の独立した証明層
Recaman.SurvivalCountermodelSeed	Recaman.SurvivalCountermodelResidue	任意finite-prefix survival反例族の独立した証明層
Recaman.SurvivalCountermodelResources	Recaman.SurvivalCountermodelReplay	任意finite-prefix survival反例族の独立した証明層
Recaman.FinitePrefixSurvivalCountermodel	Recaman.SurvivalCountermodelSeed;Recaman.SurvivalCountermodelResources;Recaman.SeededReplayWrap	任意finite-prefix survival反例族の独立した証明層
Recaman.PermanentAboveClock112Exclusion	Recaman.PermanentAboveClock112FirstOccurrence;Recaman.DeepNineteenTraceCertificate	clock112のno-low補題とkernel認証19@99734を結合してreplay clock112を排除
